iter	TotalF1:average=Weighted	MultiClass
0	0.7994363771	1.288235739
1	0.8080430797	1.050318621
2	0.8224573874	0.9188473653
3	0.825954623	0.8185715316
4	0.8281454277	0.7471303408
5	0.8302076942	0.6891891956
6	0.8314307258	0.6494175645
7	0.8332901153	0.6130708229
8	0.8346965765	0.5804530705
9	0.8357645145	0.5561102142
10	0.8367286024	0.5308354423
11	0.8371914795	0.5138989829
12	0.8383098455	0.4951753389
13	0.8387195133	0.4792679882
14	0.8394078573	0.4667930585
15	0.8414399619	0.4525215393
16	0.8425817681	0.4407245309
17	0.8424098277	0.434840742
18	0.844134455	0.4224290268
19	0.8448850276	0.4135519838
20	0.8472133024	0.4025193071
21	0.8489031599	0.3944988106
22	0.8497094079	0.3894861123
23	0.8517541109	0.3812518257
24	0.8541541579	0.3709502585
25	0.855723965	0.362060674
26	0.8592407471	0.3550967225
27	0.8601655399	0.3510341431
28	0.8611939034	0.3437184997
29	0.8634840145	0.3390383726
30	0.8660618506	0.332356956
31	0.8677350783	0.3294658587
32	0.8693946065	0.3232311531
33	0.871498012	0.3157208194
34	0.8752781843	0.3080851501
35	0.8774485363	0.3022862282
36	0.8794575651	0.2969807164
37	0.883107387	0.2908753606
38	0.8862462652	0.2842567981
39	0.887971297	0.2791104685
40	0.8890457172	0.2767270125
41	0.8911661545	0.27194524
42	0.8931023115	0.2688384491
43	0.8953867464	0.2654293867
44	0.8991569128	0.2605179795
45	0.9015686613	0.2560534775
46	0.9045362863	0.2509916928
47	0.9065605335	0.2479685304
48	0.9073750589	0.2454698774
49	0.9092050616	0.2419325504
50	0.9096964245	0.2400430165
51	0.9106260259	0.2370736524
52	0.9113211868	0.2363110174
53	0.9143342186	0.2324797652
54	0.917000598	0.2286666806
55	0.9182759445	0.2262808263
56	0.9201409592	0.2242306581
57	0.9213404349	0.2225432319
58	0.9227602669	0.2201160651
59	0.9233449233	0.2184504431
60	0.9261132819	0.2140154496
61	0.9270484351	0.2109743114
62	0.9291953628	0.2080238202
63	0.9309409347	0.2057377908
64	0.931518237	0.2045831995
65	0.9335384573	0.2018448618
66	0.934040675	0.20059808
67	0.9359930016	0.1979557201
68	0.937315371	0.1954086502
69	0.9379737156	0.1941907438
70	0.9385919548	0.1922375728
71	0.9387553575	0.1912330407
72	0.93938531	0.1900399026
73	0.9407008949	0.1883158022
74	0.9410082678	0.1876375498
75	0.9431028382	0.1856894825
76	0.9441064045	0.1843286701
77	0.9445337563	0.1824750617
78	0.9453048472	0.1818474379
79	0.9462419205	0.1800384977
80	0.9464731744	0.1791594455
81	0.9484570613	0.1765154038
82	0.9507559805	0.1742555739
83	0.9518434845	0.1722827177
84	0.9532788525	0.1699622794
85	0.9534724902	0.1693318119
86	0.9547156931	0.1678532508
87	0.9549110518	0.1668158592
88	0.9556459069	0.1657350598
89	0.9559527584	0.1649235505
90	0.956690494	0.1632404941
91	0.95739023	0.1617020648
92	0.9587469821	0.1603328097
93	0.9587461345	0.1594437873
94	0.9591701961	0.1586237985
95	0.9601381471	0.1574233695
96	0.9599034724	0.1565058957
97	0.9607591005	0.1553974042
98	0.960950593	0.1552556757
99	0.9616476222	0.1540281055
100	0.9622324831	0.1525452024
101	0.962348761	0.1519048769
102	0.962579791	0.1511689545
103	0.9637085683	0.1494613576
104	0.9639808701	0.1484443231
105	0.9650643743	0.1473561798
106	0.9655295208	0.1462457149
107	0.9656825656	0.1461439035
108	0.9666943071	0.1450282679
109	0.9672779442	0.1436942876
110	0.9676628551	0.1428318926
111	0.9685556462	0.1417661676
112	0.9686310276	0.1412078002
113	0.9690951869	0.1404291085
114	0.9698325043	0.1392030356
115	0.970378315	0.1379349858
116	0.9706505472	0.1373084209
117	0.9705739882	0.1368146732
118	0.9709626732	0.1352651028
119	0.9721632221	0.1340512593
120	0.9725495548	0.1334141991
121	0.9727853104	0.1328635651
122	0.973094942	0.1318086037
123	0.9732859961	0.1312196323
124	0.9734799332	0.1311518153
125	0.9733659005	0.1307724894
126	0.9739430037	0.1300352242
127	0.9747187774	0.128849395
128	0.9746798035	0.1282397297
129	0.9749141957	0.1275970597
130	0.9752981718	0.1272103842
131	0.975413928	0.1264933363
132	0.9756078861	0.1259435728
133	0.9760349066	0.1250663914
134	0.9759960306	0.1248952488
135	0.9771212222	0.1238637905
136	0.9779724353	0.1229322461
137	0.9779325673	0.1225430806
138	0.9780096801	0.1224089621
139	0.9780089639	0.122392129
140	0.9780091728	0.1222263071
141	0.9783955039	0.1219186669
142	0.9785499439	0.1215036157
143	0.9790532566	0.1208174553
144	0.9792470775	0.1203332484
145	0.979132106	0.1194754207
146	0.9795199447	0.1184715974
147	0.9795589781	0.11840547
148	0.9797517931	0.1181028225
149	0.9801391718	0.1176282369
150	0.980527679	0.1165597323
151	0.9809924848	0.1154579309
152	0.9809922918	0.114883258
153	0.9815337752	0.1142147087
154	0.9816884922	0.1136716819
155	0.9819222642	0.1131929078
156	0.9819996853	0.1130988007
157	0.9823092167	0.1126057398
158	0.9826189124	0.1117160585
159	0.983083751	0.1112106751
160	0.9832772702	0.1107543776
161	0.9835095573	0.1101908299
162	0.9840122651	0.1096854534
163	0.9840127369	0.1090617274
164	0.9842055673	0.1086535144
165	0.9840899271	0.1080432812
166	0.9843994228	0.1078811124
167	0.9845545131	0.1074344268
168	0.984979538	0.1067130218
169	0.9850955504	0.1061255807
170	0.9851720616	0.105773204
171	0.9856373413	0.1052933271
172	0.9857919657	0.104490308
173	0.9858316168	0.1036415592
174	0.9858700334	0.1033149502
175	0.9860253896	0.1027355668
176	0.9861028434	0.1024560774
177	0.9862575664	0.1020366724
178	0.9862186245	0.1015531221
179	0.9865286312	0.1009325886
180	0.9869547157	0.1004712953
181	0.9874585807	0.09992597469
182	0.9876910994	0.09953251343
183	0.9876128569	0.09892133334
184	0.9876903765	0.09862592962
185	0.9882324873	0.09804806617
186	0.9882320964	0.09769445889
187	0.9884257336	0.09749384787
188	0.9883869332	0.0972268953
189	0.9885807064	0.09686864804
190	0.9889678659	0.09633524188
191	0.9889677117	0.09592185348
192	0.9891615707	0.09553705513
193	0.9893938993	0.09525082313
194	0.9895101904	0.09485055003
195	0.9893550354	0.09452914696
196	0.9897424133	0.09389734631
197	0.9897424037	0.09346550846
198	0.9898968231	0.0931069652
199	0.9900902071	0.09262529854
200	0.9902451092	0.09245524227
201	0.9904773268	0.09207408958
202	0.9905932955	0.09163273765
203	0.990864409	0.09102860095
204	0.9909037054	0.09064169623
205	0.9909812422	0.09043385647
206	0.9911746787	0.08977650668
207	0.9913293423	0.08919000185
208	0.9913682288	0.08870714054
209	0.9915223669	0.08851421032
210	0.9916001534	0.08814031209
211	0.991832359	0.08778942383
212	0.9917936686	0.08767314479
213	0.9921424099	0.0870531773
214	0.9924135869	0.08644825865
215	0.9926069504	0.08617161469
216	0.9928005105	0.08584111425
217	0.9928007053	0.08554968697
218	0.9930330338	0.08517654798
219	0.9930327321	0.08488607904
220	0.9930714129	0.08466849185
221	0.9932263571	0.0842982276
222	0.9933037743	0.08408725177
223	0.9935748308	0.08352079725
224	0.9935748397	0.08348696582
